ID,Name,Category,Subcollection,Collection_Line,Era,Status,Price,Material,Main_Image,Hover_Image,Extra_Views,Type,Color,Fit,Weight,Season,Technique,Motif,Story
plo-45,Ink Strokes,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-45-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-46,Watching Eye,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-46-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-47,Lime Spiral,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-47-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-48,Tangerine Target,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-48-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-49,Ink Swirl,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-49-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-50,White Spiral,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-50-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-51,Rose Lines,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-51-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-52,Crimson Circle,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-52-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-53,Blue Glyph,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-53-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-54,Charcoal Loop,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-54-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-55,Grey Orbit,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-55-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-56,Zen Circle,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-56-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-57,Earth Spiral,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-57-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-58,Sienna Marks,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-58-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-59,Candy Dots,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-59-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-60,Pastille Dots,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-60-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-61,Fire Lines,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-61-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-62,Solar Eclipse,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-62-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-63,Tribal Marks,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-63-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-64,Pink Entanglement,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-64-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-65,Charcoal Weave,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-65-view-1.jpg,,,Pillow,,,,,Hand-painted,,
